"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"326",1,1,1,"Oakland",0,1,"t",55,2,14,309,4.9,"f",0
"327",2,1,1,"Oakland",0,3,"t",227,1,1125,114,4.94,"f",0
"328",1,1,1,"Oakland",0,3,"t",43,30,1125,34,4.97,"f",0
"329",1,1,1,"Oakland",0,3,"t",35,30,1124,48,4.92,"f",0
"330",2,1,1,"Oakland",0,1,"t",218,2,30,197,4.87,"f",1
"331",4,2,2,"Oakland",0,2,"t",170,3,10,4,4,"f",1
"332",2,1,1,"Oakland",0,4,"t",79,6,300,215,4.77,"t",0
"333",2,1,2,"Oakland",0,3,"t",68,2,28,254,4.66,"f",0
"334",2,1,1,"Oakland",0,1,"t",139,4,8,89,4.9,"f",0
"335",4,2,2,"Oakland",0,4,"t",400,4,29,12,4.92,"f",1
"336",2,1,1,"Oakland",0,1,"t",75,3,15,198,4.8,"f",1
"337",2,1,1,"Oakland",0,1,"t",125,2,30,263,4.93,"f",1
"338",2,1,1,"Oakland",0,4,"t",45,1,27,143,4.76,"f",0
"339",2,1,1,"Oakland",0,4,"t",55,5,30,107,4.36,"t",0
"340",1,1,1,"Oakland",0,1,"t",50,65,1124,11,4.73,"f",0
"341",4,1,2,"Oakland",0,1,"t",98,5,120,13,4.92,"f",0
"342",4,1,2,"Oakland",0,1,"t",65,5,30,21,4.9,"t",1
